Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10uF,
C2,0603,1,22uF,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
"J_BOTTOM1, J_LEFT1, J_RIGHT1, J_TOP1",PinHeader_1x05_P2.54mm_Vertical,4,Conn_01x05_Socket,
L1,0603,1,2.2uH,
R1,0603,1,10kΩ,
R5,0603,1,120Ω,
SCREEN1,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,
SW1,SW_SPST_FSMSM,1,SW_Push,
U1,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62162DSG,
U2,LQFP-32_7x7mm_P0.8mm,1,STM32G0B1KBTx,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
